column names	fixed	20220209	20220322	flag	description
AC_RBH_HVOL_31-40	TRUE	TRUE	TRUE		"Allele count in RBH HVOL individuals, aged 31-40"
AC_RBH_HVOL_41-50	TRUE	TRUE	TRUE		"Allele count in RBH HVOL individuals, aged 41-50"
AC_RBH_HVOL_51-60	TRUE	TRUE	TRUE		"Allele count in RBH HVOL individuals, aged 51-60"
AC_RBH_HVOL_61-70	TRUE	TRUE	TRUE		"Allele count in RBH HVOL individuals, aged 61-70"
AC_RBH_HVOL_71-80	TRUE	TRUE	TRUE		"Allele count in RBH HVOL individuals, aged 71-80"
AC_RBH_HVOL_AFR	TRUE	TRUE	TRUE		"Allele count in RBH HVOL individuals, identified as AFR descent"
AC_RBH_HVOL_EAS	TRUE	TRUE	TRUE		"Allele count in RBH HVOL individuals, identified as EAS descent"
AC_RBH_HVOL_EUR	TRUE	TRUE	TRUE		"Allele count in RBH HVOL individuals, identified as EUR descent"
AC_RBH_HVOL_F	TRUE	TRUE	TRUE		Allele count in RBH HVOL females
AC_RBH_HVOL_M	TRUE	TRUE	TRUE		Allele count in RBH HVOL males
AC_RBH_HVOL_OTH	TRUE	TRUE	TRUE		"Allele count in RBH HVOL individuals, identified as OTH descent"
AC_RBH_HVOL_SAS	TRUE	TRUE	TRUE		"Allele count in RBH HVOL individuals, identified as SAS descent"
AC_SNG	TRUE	TRUE	TRUE		"Allele count in SNG individuals (HCM, DCM, HVOL)"
AC_SNG_DCM	TRUE	TRUE	TRUE		Allele count in SNG DCM individuals
AC_SNG_DCM_EAS	TRUE	TRUE	TRUE		"Allele count in SNG DCM individuals, identified as EAS descent"
AC_SNG_DCM_EUR	TRUE	TRUE	TRUE		"Allele count in SNG DCM individuals, identified as EUR descent"
AC_SNG_DCM_F	TRUE	TRUE	TRUE		Allele count in SNG DCM females
AC_SNG_DCM_M	TRUE	TRUE	TRUE		Allele count in SNG DCM males
AC_SNG_DCM_SAS	TRUE	TRUE	TRUE		"Allele count in SNG DCM individuals, identified as SAS descent"
AC_SNG_DCM_UNKage	TRUE	TRUE	TRUE	ignore	
AC_SNG_HCM	TRUE	TRUE	TRUE		Allele count in SNG HCM individuals
AC_SNG_HCM_EAS	TRUE	TRUE	TRUE		"Allele count in SNG HCM individuals, identified as EAS descent"
AC_SNG_HCM_F	TRUE	TRUE	TRUE		Allele count in SNG HCM females
AC_SNG_HCM_M	TRUE	TRUE	TRUE		Allele count in SNG HCM males
AC_SNG_HCM_SAS	TRUE	TRUE	TRUE		"Allele count in SNG HCM individuals, identified as SAS descent"
AC_SNG_HCM_UNKage	TRUE	TRUE	TRUE	ignore	
AC_SNG_HVOL	TRUE	TRUE	TRUE		Allele count in SNG HVOL individuals
AC_SNG_HVOL_EAS	TRUE	TRUE	TRUE		"Allele count in SNG HVOL individuals, identified as EAS descent"
AC_SNG_HVOL_EUR	TRUE	TRUE	TRUE		"Allele count in SNG HVOL individuals, identified as EUR descent"
AC_SNG_HVOL_F	TRUE	TRUE	TRUE		Allele count in SNG HVOL females
AC_SNG_HVOL_M	TRUE	TRUE	TRUE		Allele count in SNG HVOL males
AC_SNG_HVOL_OTH	TRUE	TRUE	TRUE		"Allele count in SNG HVOL individuals, identified as OTH descent"
AC_SNG_HVOL_SAS	TRUE	TRUE	TRUE		"Allele count in SNG HVOL individuals, identified as SAS descent"
AC_SNG_HVOL_UNKage	TRUE	TRUE	TRUE	ignore	
AN_BLF_HCM	TRUE	TRUE	TRUE		Allele number in BLF HCM individuals
AN_EGY	TRUE	TRUE	TRUE		"Allele number in EGY individuals (HCM, DCM, HVOL)"
AN_EGY_DCM	TRUE	TRUE	TRUE		Allele number in EGY DCM individuals
AN_EGY_DCM_0-10	TRUE	TRUE	TRUE		"Allele number in EGY DCM individuals, aged 0-10"
AN_EGY_DCM_11-20	TRUE	TRUE	TRUE		"Allele number in EGY DCM individuals, aged 11-20"
AN_EGY_DCM_21-30	TRUE	TRUE	TRUE		"Allele number in EGY DCM individuals, aged 21-30"
AN_EGY_DCM_31-40	TRUE	TRUE	TRUE		"Allele number in EGY DCM individuals, aged 31-40"
AN_EGY_DCM_41-50	TRUE	TRUE	TRUE		"Allele number in EGY DCM individuals, aged 41-50"
AN_EGY_DCM_51-60	TRUE	TRUE	TRUE		"Allele number in EGY DCM individuals, aged 51-60"
AN_EGY_DCM_61-70	TRUE	TRUE	TRUE		"Allele number in EGY DCM individuals, aged 61-70"
AN_EGY_DCM_71-80	TRUE	TRUE	TRUE		"Allele number in EGY DCM individuals, aged 71-80"
AN_EGY_DCM_AFR	TRUE	TRUE	TRUE		"Allele number in EGY DCM individuals, identified as AFR descent"
AN_EGY_DCM_F	TRUE	TRUE	TRUE		Allele number in EGY DCM females
AN_EGY_DCM_M	TRUE	TRUE	TRUE		Allele number in EGY DCM males
AN_EGY_HCM	TRUE	TRUE	TRUE		Allele number in EGY HCM individuals
AN_EGY_HCM_0-10	TRUE	TRUE	TRUE		"Allele number in EGY HCM individuals, aged 0-10"
AN_EGY_HCM_11-20	TRUE	TRUE	TRUE		"Allele number in EGY HCM individuals, aged 11-20"
AN_EGY_HCM_21-30	TRUE	TRUE	TRUE		"Allele number in EGY HCM individuals, aged 21-30"
AN_EGY_HCM_31-40	TRUE	TRUE	TRUE		"Allele number in EGY HCM individuals, aged 31-40"
AN_EGY_HCM_41-50	TRUE	TRUE	TRUE		"Allele number in EGY HCM individuals, aged 41-50"
AN_EGY_HCM_51-60	TRUE	TRUE	TRUE		"Allele number in EGY HCM individuals, aged 51-60"
AN_EGY_HCM_61-70	TRUE	TRUE	TRUE		"Allele number in EGY HCM individuals, aged 61-70"
AN_EGY_HCM_71-80	TRUE	TRUE	TRUE		"Allele number in EGY HCM individuals, aged 71-80"
AN_EGY_HCM_AFR	TRUE	TRUE	TRUE		"Allele number in EGY HCM individuals, identified as AFR descent"
AN_EGY_HCM_F	TRUE	TRUE	TRUE		Allele number in EGY HCM females
AN_EGY_HCM_M	TRUE	TRUE	TRUE		Allele number in EGY HCM males
AN_EGY_HVOL	TRUE	TRUE	TRUE		Allele number in EGY HVOL individuals
AN_EGY_HVOL_11-20	TRUE	TRUE	TRUE		"Allele number in EGY HVOL individuals, aged 11-20"
AN_EGY_HVOL_21-30	TRUE	TRUE	TRUE		"Allele number in EGY HVOL individuals, aged 21-30"
AN_EGY_HVOL_31-40	TRUE	TRUE	TRUE		"Allele number in EGY HVOL individuals, aged 31-40"
AN_EGY_HVOL_41-50	TRUE	TRUE	TRUE		"Allele number in EGY HVOL individuals, aged 41-50"
AN_EGY_HVOL_51-60	TRUE	TRUE	TRUE		"Allele number in EGY HVOL individuals, aged 51-60"
AN_EGY_HVOL_61-70	TRUE	TRUE	TRUE		"Allele number in EGY HVOL individuals, aged 61-70"
AN_EGY_HVOL_71-80	TRUE	TRUE	TRUE		"Allele number in EGY HVOL individuals, aged 71-80"
AN_EGY_HVOL_81-90	TRUE	TRUE	TRUE		"Allele number in EGY HVOL individuals, aged 81-90"
AN_EGY_HVOL_AFR	TRUE	TRUE	TRUE		"Allele number in EGY HVOL individuals, identified as AFR descent"
AN_EGY_HVOL_F	TRUE	TRUE	TRUE		Allele number in EGY HVOL females
AN_EGY_HVOL_M	TRUE	TRUE	TRUE		Allele number in EGY HVOL males
AN_GDX_HCM	TRUE	TRUE	TRUE		Allele number in GDX HCM individuals
AN_GDX_HCM_0-10	TRUE	TRUE	TRUE		"Allele number in GDX HCM individuals, aged 0-10"
AN_GDX_HCM_11-20	TRUE	TRUE	TRUE		"Allele number in GDX HCM individuals, aged 11-20"
AN_GDX_HCM_21-30	TRUE	TRUE	TRUE		"Allele number in GDX HCM individuals, aged 21-30"
AN_GDX_HCM_31-40	TRUE	TRUE	TRUE		"Allele number in GDX HCM individuals, aged 31-40"
AN_GDX_HCM_41-50	TRUE	TRUE	TRUE		"Allele number in GDX HCM individuals, aged 41-50"
AN_GDX_HCM_51-60	TRUE	TRUE	TRUE		"Allele number in GDX HCM individuals, aged 51-60"
AN_GDX_HCM_61-70	TRUE	TRUE	TRUE		"Allele number in GDX HCM individuals, aged 61-70"
AN_GDX_HCM_71-80	TRUE	TRUE	TRUE		"Allele number in GDX HCM individuals, aged 71-80"
AN_GDX_HCM_81-90	TRUE	TRUE	TRUE		"Allele number in GDX HCM individuals, aged 81-90"
AN_GDX_HCM_F	TRUE	TRUE	TRUE		Allele number in GDX HCM females
AN_GDX_HCM_M	TRUE	TRUE	TRUE		Allele number in GDX HCM males
AN_GDX_HCM_UNKsex	TRUE	TRUE	TRUE	ignore	
AN_LMM_DCM	TRUE	TRUE	TRUE		Allele number in LMM DCM individuals
AN_LMM_HCM	TRUE	TRUE	TRUE		Allele number in LMM HCM individuals
AN_OMG_DCM	TRUE	TRUE	TRUE		Allele number in OMG DCM individuals
AN_OMG_HCM	TRUE	TRUE	TRUE		Allele number in OMG HCM individuals
AN_RBH	TRUE	TRUE	TRUE		"Allele number in RBH individuals (HCM, DCM, HVOL)"
AN_RBH_DCM	TRUE	TRUE	TRUE		Allele number in RBH DCM individuals
AN_RBH_DCM_0-10	TRUE	TRUE	TRUE		"Allele number in RBH DCM individuals, aged 0-10"
AN_RBH_DCM_11-20	TRUE	TRUE	TRUE		"Allele number in RBH DCM individuals, aged 11-20"
AN_RBH_DCM_21-30	TRUE	TRUE	TRUE		"Allele number in RBH DCM individuals, aged 21-30"
AN_RBH_DCM_31-40	TRUE	TRUE	TRUE		"Allele number in RBH DCM individuals, aged 31-40"
AN_RBH_DCM_41-50	TRUE	TRUE	TRUE		"Allele number in RBH DCM individuals, aged 41-50"
AN_RBH_DCM_51-60	TRUE	TRUE	TRUE		"Allele number in RBH DCM individuals, aged 51-60"
AN_RBH_DCM_61-70	TRUE	TRUE	TRUE		"Allele number in RBH DCM individuals, aged 61-70"
AN_RBH_DCM_71-80	TRUE	TRUE	TRUE		"Allele number in RBH DCM individuals, aged 71-80"
AN_RBH_DCM_81-90	TRUE	TRUE	TRUE		"Allele number in RBH DCM individuals, aged 81-90"
AN_RBH_DCM_AFR	TRUE	TRUE	TRUE		"Allele number in RBH DCM individuals, identified as AFR descent"
AN_RBH_DCM_EAS	TRUE	TRUE	TRUE		"Allele number in RBH DCM individuals, identified as EAS descent"
AN_RBH_DCM_EUR	TRUE	TRUE	TRUE		"Allele number in RBH DCM individuals, identified as EUR descent"
AN_RBH_DCM_F	TRUE	TRUE	TRUE		Allele number in RBH DCM females
AN_RBH_DCM_M	TRUE	TRUE	TRUE		Allele number in RBH DCM males
AN_RBH_DCM_OTH	TRUE	TRUE	TRUE		"Allele number in RBH DCM individuals, identified as OTH descent"
AN_RBH_DCM_SAS	TRUE	TRUE	TRUE		"Allele number in RBH DCM individuals, identified as SAS descent"
AN_RBH_HCM	TRUE	TRUE	TRUE		Allele number in RBH HCM individuals
AN_RBH_HCM_0-10	TRUE	TRUE	TRUE		"Allele number in RBH HCM individuals, aged 0-10"
AN_RBH_HCM_11-20	TRUE	TRUE	TRUE		"Allele number in RBH HCM individuals, aged 11-20"
AN_RBH_HCM_21-30	TRUE	TRUE	TRUE		"Allele number in RBH HCM individuals, aged 21-30"
AN_RBH_HCM_31-40	TRUE	TRUE	TRUE		"Allele number in RBH HCM individuals, aged 31-40"
AN_RBH_HCM_41-50	TRUE	TRUE	TRUE		"Allele number in RBH HCM individuals, aged 41-50"
AN_RBH_HCM_51-60	TRUE	TRUE	TRUE		"Allele number in RBH HCM individuals, aged 51-60"
AN_RBH_HCM_61-70	TRUE	TRUE	TRUE		"Allele number in RBH HCM individuals, aged 61-70"
AN_RBH_HCM_71-80	TRUE	TRUE	TRUE		"Allele number in RBH HCM individuals, aged 71-80"
AN_RBH_HCM_81-90	TRUE	TRUE	TRUE		"Allele number in RBH HCM individuals, aged 81-90"
AN_RBH_HCM_AFR	TRUE	TRUE	TRUE		"Allele number in RBH HCM individuals, identified as AFR descent"
AN_RBH_HCM_EAS	TRUE	TRUE	TRUE		"Allele number in RBH HCM individuals, identified as EAS descent"
AN_RBH_HCM_EUR	TRUE	TRUE	TRUE		Allele number in RBH HCM individuals identified as EUR descent
AN_RBH_HCM_F	TRUE	TRUE	TRUE		Allele number in RBH HCM females
AN_RBH_HCM_M	TRUE	TRUE	TRUE		Allele number in RBH HCM males
AN_RBH_HCM_OTH	TRUE	TRUE	TRUE		"Allele number in RBH HCM individuals, identified as OTH descent"
AN_RBH_HCM_SAS	TRUE	TRUE	TRUE		"Allele number in RBH HCM individuals, identified as SAS descent"
AN_RBH_HVOL	TRUE	TRUE	TRUE		Allele number in RBH HVOL individuals
AN_RBH_HVOL_11-20	TRUE	TRUE	TRUE		"Allele number in RBH HVOL individuals, aged 11-20"
AN_RBH_HVOL_21-30	TRUE	TRUE	TRUE		"Allele number in RBH HVOL individuals, aged 21-30"
AN_RBH_HVOL_31-40	TRUE	TRUE	TRUE		"Allele number in RBH HVOL individuals, aged 31-40"
AN_RBH_HVOL_41-50	TRUE	TRUE	TRUE		"Allele number in RBH HVOL individuals, aged 41-50"
AN_RBH_HVOL_51-60	TRUE	TRUE	TRUE		"Allele number in RBH HVOL individuals, aged 51-60"
AN_RBH_HVOL_61-70	TRUE	TRUE	TRUE		"Allele number in RBH HVOL individuals, aged 61-70"
AN_RBH_HVOL_71-80	TRUE	TRUE	TRUE		"Allele number in RBH HVOL individuals, aged 71-80"
AN_RBH_HVOL_AFR	TRUE	TRUE	TRUE		"Allele number in RBH HVOL individuals, identified as AFR descent"
AN_RBH_HVOL_EAS	TRUE	TRUE	TRUE		"Allele number in RBH HVOL individuals, identified as EAS descent"
AN_RBH_HVOL_EUR	TRUE	TRUE	TRUE		"Allele number in RBH HVOL individuals, identified as EUR descent"
AN_RBH_HVOL_F	TRUE	TRUE	TRUE		Allele number in RBH HVOL females
AN_RBH_HVOL_M	TRUE	TRUE	TRUE		Allele number in RBH HVOL males
AN_RBH_HVOL_OTH	TRUE	TRUE	TRUE		"Allele number in RBH HVOL individuals, identified as OTH descent"
AN_RBH_HVOL_SAS	TRUE	TRUE	TRUE		"Allele number in RBH HVOL individuals, identified as SAS descent"
AN_SNG	TRUE	TRUE	TRUE		"Allele number in SNG individuals (HCM, DCM, HVOL)"
AN_SNG_DCM	TRUE	TRUE	TRUE		Allele number in SNG DCM individuals
AN_SNG_DCM_EAS	TRUE	TRUE	TRUE		"Allele number in SNG DCM individuals, identified as EAS descent"
AN_SNG_DCM_EUR	TRUE	TRUE	TRUE		"Allele number in SNG DCM individuals, identified as EUR descent"
AN_SNG_DCM_F	TRUE	TRUE	TRUE		Allele number in SNG DCM females
AN_SNG_DCM_M	TRUE	TRUE	TRUE		Allele number in SNG DCM males
AN_SNG_DCM_SAS	TRUE	TRUE	TRUE		"Allele number in SNG DCM individuals, identified as SAS descent"
AN_SNG_DCM_UNKage	TRUE	TRUE	TRUE	ignore	
AN_SNG_HCM	TRUE	TRUE	TRUE		Allele number in SNG HCM individuals
AN_SNG_HCM_EAS	TRUE	TRUE	TRUE		"Allele number in SNG HCM individuals, identified as EAS descent"
AN_SNG_HCM_F	TRUE	TRUE	TRUE		Allele number in SNG HCM females
AN_SNG_HCM_M	TRUE	TRUE	TRUE		Allele number in SNG HCM males
AN_SNG_HCM_SAS	TRUE	TRUE	TRUE		"Allele number in SNG HCM individuals, identified as SAS descent"
AN_SNG_HCM_UNKage	TRUE	TRUE	TRUE	ignore	
AN_SNG_HVOL	TRUE	TRUE	TRUE		Allele number in SNG HVOL individuals
AN_SNG_HVOL_EAS	TRUE	TRUE	TRUE		"Allele number in SNG HVOL individuals, identified as EAS descent"
AN_SNG_HVOL_EUR	TRUE	TRUE	TRUE		"Allele number in SNG HVOL individuals, identified as EUR descent"
AN_SNG_HVOL_F	TRUE	TRUE	TRUE		Allele number in SNG HVOL females
AN_SNG_HVOL_M	TRUE	TRUE	TRUE		Allele number in SNG HVOL males
AN_SNG_HVOL_OTH	TRUE	TRUE	TRUE		"Allele number in SNG HVOL individuals, identified as OTH descent"
AN_SNG_HVOL_SAS	TRUE	TRUE	TRUE		"Allele number in SNG HVOL individuals, identified as SAS descent"
AN_SNG_HVOL_UNKage	TRUE	TRUE	TRUE	ignore	
AC_LMM_DCM_AFR	TRUE	TRUE	TRUE		"Allele count in LMM DCM individuals, identified as AFR descent"
AC_LMM_DCM_EAS	TRUE	TRUE	TRUE		"Allele count in LMM DCM individuals, identified as EAS descent"
AC_LMM_DCM_EUR	TRUE	TRUE	TRUE		"Allele count in LMM DCM individuals, identified as EUR descent"
AC_LMM_DCM_OTH	TRUE	TRUE	TRUE		"Allele count in LMM DCM individuals, identified as OTH descent"
AC_LMM_DCM_UNKpop	TRUE	TRUE	TRUE		"Allele count in LMM DCM individuals, identified as UNK descent"
AN_LMM_DCM_AFR	TRUE	TRUE	TRUE		"Allele number in LMM DCM individuals, identified as AFR descent"
